GEOID,STATEFP,COUNTYFP,d_amtrak,d_transit,d_regional_airport,d_national_airport,d_college,d_college_3,d_hospital,d_hospital_3,d_private_school,d_private_school_3,d_public_school,d_public_school_3
420171055051,42,017,4562.639901010122,2089.662861390342,5171.968849755521,30303.174969680724,3377.719529495071,4171.955273516964,1584.9262497093266,2772.8751202332346,2175.458165357439,2475.752652557536,1270.2864737430532,1388.1890978252568
421179501003,42,117,20541.332832529584,173792.65816894488,29123.31614250681,29402.747817909945,17288.508175690124,21836.559357345235,20486.525180860754,24131.090821194935,14765.345986154205,17711.41125005745,2642.761998743628,6581.843261508975
420770093001,42,077,5703.839744409574,40742.1268045287,4471.259744176675,4603.48125991497,1555.2877218641127,1735.8001014281142,1813.6366004999848,2711.7633509468287,440.37926705833553,681.0350185711142,383.4137640653101,908.5252635362936
421010149003,42,101,2663.956568079146,830.2156003494076,12383.15538938217,13393.026053910251,1722.4965021820767,2204.3976040407074,1710.4231854494344,2441.201360785074,637.3763622241861,907.4727619565946,166.02579511152925,371.54516285724446
421298029001,42,129,10526.816914426932,28690.811197232386,22229.285628379926,22551.24941929724,2086.1349190253122,7628.269411934587,10037.247070136871,11819.36568211657,1608.1687116546598,5107.779036715367,2941.2832547709636,3078.045773883458
420110133024,42,011,25455.74998416589,30696.928256091905,30852.719551341972,31161.02535686403,19100.170510495132,20454.58403993012,17848.861227423415,19311.689775368075,63.30681160011486,3763.1081262822104,1311.671306959165,4538.289535914625
420770022013,42,077,3319.3333099454276,42441.774706128694,7397.422447944772,7674.667145167293,901.8147249527201,2205.4863733304032,657.4730343431319,1997.179869986786,705.4920466230807,1225.1954516038465,392.3425972987566,729.7561802595174
421010305012,42,101,6866.585583946758,1205.5409348847786,9009.754655258392,22507.42614249937,4007.6953533293154,4155.168460267622,634.3266367748877,1577.931160545313,1195.6419039177235,1628.4164800209733,392.8473703956201,703.0076467820263
420430208001,42,043,2922.2391038861983,90212.863962024,8362.30590714391,15144.176767106404,1349.367207426291,2030.629867843493,274.24099130023814,2247.6015590861475,1094.9328607997168,1583.155066024335,1050.405786411913,1479.4558312216386
420792155044,42,079,17284.58482496499,104686.00195294996,54312.26877746547,34158.75500829766,6791.010389949807,13812.349673217115,6552.171923759994,14566.838512593176,6647.678882483436,10915.65310807123,5364.704613601126,7016.535632765291
420490107003,42,049,5888.797709325357,133447.8980459282,51627.077325967686,3209.0923472647746,2220.2039037331233,2863.163333232129,3455.661249283173,4111.174336934549,1048.6571587754079,1671.65800013227,617.5834963896475,1278.198582646275
420639612002,42,063,37399.15194181437,37544.241654381396,42686.20471650615,45278.978646640826,1562.0965810027412,13302.704523249422,1948.2504599645154,21206.795529823674,85.23486537772864,524.8559201271139,415.1729275047935,767.9162138927892
421010110004,42,101,2608.862351403943,142.5936166787333,10876.57959400127,11844.757689185903,2099.7550266538697,2326.5909247119034,1613.6491266802136,2075.7458090576456,1148.4800506679421,1685.5284123109122,279.87717789374227,483.8696697204938
420792122003,42,079,4601.077074541788,99089.57069239144,44517.9906052803,14405.064172253655,467.44550506122937,3097.9605620888274,1928.0709900696115,2848.584701111642,613.7757476754896,1656.1551922294555,512.8632298820132,1275.7310423345966
420031516002,42,003,4359.337963732055,4357.36708082677,8215.838339380316,23581.58127598827,1877.8055588968298,1946.5196574754752,1682.3937516692295,1960.1005197058578,121.82233282267725,1176.2031794994036,220.40134030436238,1359.376760155563
420430224034,42,043,6530.149130415161,91626.69867409651,10093.796895328245,13743.69929748427,1410.851876205845,3189.51439282485,2608.2119458940288,3853.20901156935,1233.2936398878976,1910.8693077470177,1049.2289576148764,1329.6421319927022
421010318004,42,101,7368.36270962989,934.2814005433183,8494.49868440995,22487.459228554908,4262.721506538365,4982.061174282591,1300.440347290971,1724.2335396767796,1788.152640352636,1820.2067250714615,550.2715765295712,756.6159993703704
421010315022,42,101,9197.314880850638,2328.356103129708,5974.829546814462,24950.297758179688,1913.9774359109128,3787.332053592919,2174.530280242087,3158.8971280579267,228.2309891823955,533.0655200823004,248.23725399237202,645.5287018078586
420710113002,42,071,7971.30474919952,62294.226376384104,20092.170814576057,27994.447518113786,12305.385409852146,13385.644609533072,12842.968886696299,14527.497956807256,1350.6618457397112,3415.612400998641,454.8487320998529,608.6351197154111
421010008034,42,101,917.9140157533845,448.5560379532957,9393.667233981032,10434.190849165323,204.9462940614836,289.9282151657364,541.4215014203797,957.4432062778081,741.08339807629,810.1422440496053,312.6189502770989,493.30399501839366
420210132003,42,021,11661.624125604387,12132.080232833063,6489.447251435463,53319.10999397158,11109.022660871919,11403.222660144715,11736.761531875383,12328.9302444878,9347.883888426,9822.987294331828,4725.000082474096,5792.805529628688
421010169011,42,101,1574.275830930198,1236.7416012957565,13948.859666420572,14955.964336979003,2010.6805292023273,3152.820186983415,2095.7397844408715,2223.750175225299,343.7686745480018,902.7887551188734,564.3626488999917,603.3051945413741
421010012014,42,101,1040.5819763064308,897.2331603204965,8786.576865531322,9824.40070383273,552.6393917597261,811.5409069112072,644.2164626570988,1036.4827726957965,625.94495304904,1022.9974326541941,596.3364178606427,704.7069186217763
420110132001,42,011,33887.98295670376,31399.776020096662,27445.592583898106,39577.83604225321,21844.654316703713,22641.004941624575,10689.600618060476,16650.96750481668,3044.408771937717,4696.737854970256,1001.1236745855379,1156.0036089294063
421330004002,42,133,21574.88933953717,53175.51109411988,15194.12882682996,25302.46466922106,2065.734923123715,2682.556146887051,1447.9864889988107,2358.98174424639,1286.8394200514872,1683.3741921200867,941.3509084662264,1109.306992989028
