GEOID,STATEFP,COUNTYFP,d_amtrak,d_transit,d_regional_airport,d_national_airport,d_college,d_college_3,d_hospital,d_hospital_3,d_private_school,d_private_school_3,d_public_school,d_public_school_3
050350302015,05,035,12169.537850072114,11916.18183606012,4966.54831029009,22724.869116842812,3454.010365621698,9936.878881044198,1253.4476154005567,1312.5530389087066,652.5698979112507,4398.162666758572,615.6631246047893,986.1695590202785
051330804002,05,133,47902.61865278145,198260.72773153448,33639.97778120574,154522.0008285903,31163.058887865755,38036.213423825226,19904.296277109195,25196.83454465746,41493.58382658249,41901.92099634159,19080.75812002867,19233.26188409055
050070206033,05,007,248544.92229912334,249000.31478429222,11762.511528436415,9395.613986013625,5553.287490060426,6009.417777007354,3599.136095450274,9571.52458483241,4724.948082970794,6378.691558784337,1037.8908382463399,1312.1798046532992
051159515011,05,115,102357.59737741311,103120.5965900128,10179.399675293564,104389.89056213273,5832.253528460376,6544.734056974671,4407.734759132079,14134.8072457153,4294.507344175814,16642.681907811348,4060.9926224223655,4701.104832180784
051011802002,05,101,139982.79398506024,140137.6841635228,53143.013488380595,115244.40228537963,42579.47081784796,48644.03401301439,42781.82227811766,49611.77334361952,50132.681865282764,51428.06933310367,5285.884583155702,16349.796905198615
050379505002,05,037,68551.1178432534,68321.26206656174,52809.25566981927,73762.35467725442,1580.1878879382743,15281.41591928733,2606.0169014968656,27187.84945689413,4088.6098271247415,25980.649894088827,1995.0219312323636,2020.495900599409
051190011002,05,119,2779.0495305892505,3057.2061251883665,5125.000420616041,6058.670330379535,1035.5834185586498,1311.5468495490843,1918.623640438868,2903.7419699538955,2938.427842405328,3725.0813612779275,93.59144316837919,398.05966643120314
051190015013,05,119,3702.9796984172817,4941.874534505437,8545.07849217015,9474.940568647919,1043.5456261667446,1741.6896114514993,776.2994435320551,1048.2612053573757,522.6510137415191,873.1844014433284,585.0963150152188,862.3303181150008
050554805001,05,055,42743.671535345675,106754.62740040805,28598.70706908753,49616.76821681724,9238.681146387931,23572.139584512144,1449.2242421676476,18312.875427991803,506.17462628868185,12923.367249190884,1350.9942790125685,1673.3605402732317
051099533001,05,109,50783.407135271686,125205.24991344025,43520.70942506326,128428.25639605908,43414.946463873945,46659.06182290187,32561.367418479986,41081.49654449501,1118.76432391267,19154.44378267087,5243.023427202464,5637.293421009552
