GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
120090665003,243900,213000,446000,70600,302848,298750,413030,244790
120910221001,128188.4,70850,600000,33384,95099.6,88146,178304,61503
120860097061,980350,910000,1475000,596800,1045139.8,1037728,1299452,759992
121170216151,193220,252000,305500,55300,186518.7,95036,376862,95036
120860115001,106800,62500,375000,8000,166272.6,138429.5,313567,91244
121030255064,1560550,53550,13700000,20000,82247.1,74899.5,148994,41086
120910215011,402280,308750,800000,165000,369360.8,293522.5,780556,185140
120910220013,98750,77250,250000,2000,85190.1,86207.5,151870,39069
120910210013,241770,224000,415000,145000,192269.3,174840,280168,128562
120710205023,84350,63500,212000,23500,58166.8,48851,132429,22642
120570006021,31370,22000,135000,3200,59397.8,59852.5,134489,25042
120860010041,84220,67000,270000,20000,73091.1,70464.5,118855,44428
120710401231,104010,87500,249000,17500,246318.3,247880.5,464341,69000
120150301001,37370,23900,85000,5200,108809.1,90732,206917,66281
120710016013,129370,118650,181100,88000,124182.6,121047.5,194606,67845
121030226011,114240,119950,205000,62000,100416.5,104231,149788,65424
120090698021,122385.7,139500,185000,61857,143498,133480,273110,65890
120910207003,222770,267500,299900,31000,256400.1,259458.5,281144,210888
120710203003,27810,30000,45800,4300,65791.2,70660,137760,16164
120710701011,77200,32250,375000,7500,258934.9,264129,367560,139733
120570141041,293780,161650,1450000,30000,217871.3,224982.5,457002,30622
121030203022,73190,56000,167000,25000,119288.6,129551.5,160650,58385
120310143342,218186,130500,550000,15900,348735.1,312791,613641,252582
121130108151,202949.9,185500,550000,10500,281894.9,220821,579763,177546
120830002006,142190,118450,282500,32000,180131.4,131825.5,579028,47461
121030242003,100560,82500,205000,29000,83294.9,68444,170922,35174
120110701013,4160605.6,281600,14590714,1000,143757,152750,221750,67160
120310015003,19453.1,7200,76500,1000,17861.8,15913,26972,13512
121010317071,132360,112800,214000,85300,135918.9,137655,188977,79390
121030219005,75941.4,56700,200000,2700,51133,44107.5,121084,12785
120710801003,1025440,891500,2425000,11400,1854003,1861224,2151970,1590772
120860089023,244240,210000,389900,124500,187941.5,164939.5,337843,141023
121010330111,35720,29100,99000,12000,88922.1,62842.5,246777,19924
121030261013,62240,64500,120000,15500,55833.8,48953,168570,23336
120110703061,4202828.4,612500,12300000,8571,270327,249525,409590,150810
120730009012,166790,164200,218000,136000,167847.5,157868,234533,140189
120190309043,144900,155000,209000,22000,122371.4,120235.5,145473,105397
121030268203,145700,137250,205000,97000,158955.2,142920.5,224463,108932
120570138071,162140,142850,229900,107000,104214.5,99874.5,161203,81462
120110107011,715011.4,73450,3505714,30500,102363,112310,130770,25600
121050161001,635922.5,52150,3700000,2800,59544.7,61217,101514,20959
120860004042,78550,63750,190000,30000,103248.3,98540,193546,65157
120090604003,75930,69500,146300,26000,63388,64225,77740,35150
120990043003,232181.4,217450,450000,98914,168970.3,155811,242555,122736
120850014043,18208.9,8600,55000,2400,233643.8,237696.5,306960,123332
121010325004,120320,133100,195000,30100,129914.6,128182,187761,89657
120950121002,56080,56000,101000,26000,58833.5,64222,79897,21310
121030231001,109040,85700,299000,24100,108730.8,89464,251433,33970
121170215042,246800,256250,360000,101500,213186,181276.5,384530,152404
120350602063,93150,59250,295000,17500,163851,170549.5,257966,82193
120860049012,164330,49400,780000,28000,52354.8,50219,80564,30553
121050120031,237603.5,238493,250000,211990,170614.4,191463,210986,40000
120310145001,69200,74950,139900,5000,88960.2,85375,134297,58982
121270824061,157680,132500,409000,64800,139392.6,118215,363412,93198
120579900000,1174100,1125000,2250000,100000,1286580.5,763088.5,5680319,413995
120710802041,287500,282500,550000,54000,620656.1,394060,2973264,142475
121030286003,2855950,382500,16500000,7500,341273.1,296922.5,623541,145652
121030280023,1654014.2,2000000,3000000,374142,853237.6,724999,2069289,188035
120860037041,2459530,2300000,6552800,309000,132758.2,128281.5,164851,76493
121319506014,322210,248650,780000,60000,498505.6,486247,688146,385393
121030272092,127050,142500,220000,37500,159855.4,167031.5,188589,92281
121030251123,252440,183500,525000,50000,115005.1,93458,189519,71927
120860013015,708900,483500,2500000,3000,55539.7,61613,62775,22935
121050122061,344950,262500,1050000,60000,274563.3,269059.5,354124,208046
121170208122,7606250,127750,44100000,81500,147628.7,136978.5,208061,115970
120570101081,309490,27500,1575000,4000,226834,169702,961181,22742
120210105062,156070,132000,299000,97900,250678.5,179347,539199,160066
121050141233,122450,131500,219000,22500,115320.4,113301.5,144646,86481
120860106101,538030,569000,636400,438700,456001.1,455917,500144,381828
121113810001,227210,190300,685000,32000,260091.6,253748,446581,141623
120310146013,2060640,299950,11750000,30000,304930.8,279551.5,490370,113560
120690301041,244000,227500,420000,75000,370364.4,300666.5,682957,180357
120990002153,344730,329150,459900,277900,330891.5,310152,518177,156816
120710101023,209720,168500,611300,80900,460922,461294.5,914864,81878
121050120011,174695.7,147306,375500,48500,129434.8,127151,222436,41669
121130109001,467700,455000,875000,208000,501268,497096.5,755754,270374
120174507024,9000,4800,24600,4000,60898,59255,103590,42720
120950168042,57450,52500,136000,8600,67945.1,60565,169433,36984
120860090434,289640,295350,359000,219000,255602,265000,303000,210772
121050119011,385675,77400,3141600,13200,104895.5,113255.5,149364,69362
120570036003,63957,59450,152000,6500,50994.2,39818,87148,29933
120559604002,80540,66500,235000,2500,96777.3,101577.5,130198,50025
120110425002,1043330,996900,1468400,670900,807137,633610,1635870,385740
121050147011,135250,122000,225000,60000,109438.4,100349,176529,63372
121170219024,203640,186250,345000,42000,194703.4,175485,288131,145446
121090214042,237200,241000,455000,54000,320020,318414.5,387822,249997
121170220012,144860,127500,466900,3000,59071.8,53237,141646,20558
120599604002,66830,59950,150000,24000,102601.2,80442.5,243248,2196
120830023023,238040,246750,310000,160000,180119.4,172752,230798,144392
120110703042,4506922.7,3921785.5,9625000,109900,229755,200375,394600,162740
120310101032,169300,167500,380000,18000,207398.3,202767,389725,52094
121113821061,104830,95000,270600,2000,125810.1,97701.5,238300,65837
120110804022,1173284.2,120250,6364285,7857,126168,113200,211290,85050
120010022092,123610,52050,583500,4500,83595,72320,180000,35020
121050143023,289010,167350,900000,50000,1317540.9,868885.5,5033729,528470
121113816021,99100,90000,325000,1000,86687.8,90390.5,93217,75500
120910210011,239560,239900,352000,127500,245829.5,229885.5,354156,159012
121050121114,81240,66250,190000,19000,196062.8,167550,400284,114274
120860004113,130010,101000,225000,65000,161245.4,184554,252619,43088
120990044021,106530,93500,257000,35100,120188.5,116264.5,222786,44902
120010012022,142930,80000,289900,55000,176983,200325,252800,94920
120830026051,272530,270750,308800,222500,226281,229787,277552,168470
120860070011,227390,217500,508000,50000,240948.1,205173,498750,86518
120860130002,148870,153500,210000,67200,195518.6,219989,242084,110849
121270910261,104599.4,123000,166000,2794,136659.1,124215.5,240878,67742
121010324012,85381,63250,276800,5310,263225.8,299391.5,375870,128546
120150203011,30745,17000,103000,2500,124528.3,113598,259798,76503
121050136002,33050,29500,70000,4500,43632.7,41243,74826,21029
120310144103,193800,167500,348000,108500,217934.4,209871.5,291916,184129
120570034002,73750,58500,209500,6000,42243.8,40748,84262,15273
120910233041,457328.5,461500,972285,77000,619843.5,621778,820369,332480
120210111023,1159575.5,190000,10000000,10000,135445.7,136428,141352,125780
120710106023,180200,133750,440000,22000,162551.7,105379,356918,103360
120950102005,199290,183750,335000,47200,237503.3,224152,326775,183661
120850011041,56590,28000,216000,1000,155167.6,172436,244420,39620
120090630001,185840,159000,313500,140000,177763,166540,252830,151310
120860073004,416800,406000,770000,176000,743466.4,631777.5,1449832,274653
120990078372,262690,259950,399000,123000,165675.4,156330,265422,89380
121030250143,149390,134450,250000,38500,153102,140892,222550,118133
120330014024,145730,166550,229900,20500,153496.9,144944.5,199799,131361
120860049021,186230,145700,379900,56000,230209,264489.5,351030,92216
120530409051,193150,194000,316500,22000,167236.2,172651,214799,96796
120830007022,70850,60000,142000,11000,131014.6,126828.5,235483,34189
120830006013,15230.8,7250,57500,1948,35189.2,38044,61551,8616
121010317081,113130,111000,170800,37000,153319.9,146159.5,229276,118465
120860079023,1197250,1216250,3200000,15000,2409750.8,2272128.5,4099345,799253
120150305032,57510,17000,389000,10400,256907.9,245972.5,342015,187936
120530409082,73870,53450,226000,9000,100394.3,105114.5,135154,54505
120010015141,1407350,149650,13100000,5000,95335,100000,100000,83350
120010011004,311780,295150,469000,185000,339763,278460,788320,126880
120860114041,161600,89250,495500,17000,218085.8,202719.5,380242,74005
120860190002,122670,86750,232000,60000,111323.9,134035.5,150125,58618
120860106123,225000,189500,410000,50000,186312.5,173630,291054,137884
120830011041,137400,47500,900000,1000,57684.5,56090,93756,21937
120860046071,684200,657500,1175000,271000,1916721.1,1304971,4491736,919723
120860001211,377370,335850,665000,127000,332091.9,322211.5,509866,218745
120950178042,283450,277350,455000,190000,191221.4,183317,254348,146399
120860010045,86570,72500,185600,25000,97190.1,93627.5,173690,40885
120110309021,7759142.7,607500,34000000,7857,395672,369470,568400,238740
120111006003,2013149.9,103000,11250000,10000,108503,89435,167810,80600
120110802001,969262.7,205000,8014285,7142,257627,264525,421540,115760
120110910001,2189799.9,249500,14562857,7857,242226,235485,310620,186250
120111101003,158077.1,151000,272500,8571,176544,145960,265330,109310
120310167242,170640,166500,281900,95000,140299.8,131179.5,185349,104708
120310167291,135770,113450,240000,27500,144339.2,144100,178715,105492
121050106011,55940,54250,89000,20600,72088.2,82984,107812,35621
120110203211,10716864.1,8280785.5,27650000,395000,333347,320875,556020,210530
120570065014,198930,203200,291000,94900,162742.3,169459,209790,102769
120869805001,616533.3,397500,2300000,83333,84000.1,87623.5,110260,50963
120860060014,285000,248500,540000,125000,231816.5,191772.5,392389,121380
120860137002,331480,270000,800000,25000,87751,79333,156235,74086
120860057011,212370,249500,380000,35000,154021.7,138588,234338,94278
120860024021,327690,216500,1008000,64500,106377.4,59624,390884,49272
120860064013,203110,86750,810000,1600,101329,98129.5,114896,92472
120860034001,159712.5,180450,500000,6200,84536.5,97567,123874,24388
120860114033,883310,115000,7177500,1100,52194.9,39230.5,129825,37803
120530401011,107350,66250,387500,5000,81338.9,85314.5,137651,20925
120110601251,1285250,197500,11000000,104000,221419,235565,285610,144020
120610506024,254373,213250,880000,69000,76435.5,79158,119696,34067
120110702112,489090,450150,782000,378000,465739,472330,529580,378730
120110906011,154980,140950,305000,10000,157235,132325,239720,101510
120111104042,1529377.1,115100,6285714,34500,147411,118340,243110,96210
120110202043,31615.7,10050,93000,2500,94255,93350,158960,35910
120990001021,906500,800000,1925000,520000,1347812.5,1309651.5,1617000,1063653
120990002143,145310,138750,265000,37800,174712.5,151330.5,290421,116054
