GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
110010008021,718272.1,535760.5,2300000,269900,912884,775725,1590740,550930
110010076014,198100,154500,468000,24000,150552,106530,234410,100470
110010093011,458325,382500,949500,114500,599563,589090,905910,421040
110010093021,484580,549950,635900,150000,545380,534480,645150,487240
110010095053,1135500,368500,8250000,130000,374705,335385,522960,319960
110010095092,358626,370000,752500,117000,448484,437695,560140,373330
110010096032,134400,119500,265000,55000,230729,226385,262030,215710
110010097002,840024.1,147490,6980486,37400,326969,328670,353930,290220
110010098072,153079.7,112500,360000,42500,189187,186265,217300,174740
110010099011,311786,332450,489000,127000,399257,367995,664520,319110
110010099051,347818,439900,457700,100380,251082,236815,419650,142030
110010055001,876300,897500,1095000,600000,1562398,1667235,2385920,929370
110010108001,138145,148000,218000,47200,215664,214780,230920,187520
110010021023,368530,394950,475000,200000,509987,495550,562320,479930
110010023012,218269.7,195500,459000,90000,559647,536560,701260,498940
110010024001,447900,475000,630000,167500,607403,588455,798880,497940
110010028022,796672,232000,3625000,74500,530339,471350,814160,288950
110010032001,335169.2,329174.5,766350,13278,616994,576180,840940,553300
110010033013,697854,742315,1310000,116410,821004,788035,1185420,652950
110010035002,2044576,300000,17122860,115000,555201,520645,938610,411550
110010038002,467040,575450,780000,43500,794122,794680,978870,600630
110010050024,278400,290000,360000,166500,254897,255335,298750,210170
110010105001,337400,327000,470000,145000,564668,562560,595580,521890
110010032004,120510,112500,330000,15000,557323,540900,636850,513320
110010067001,507690,516000,868000,116000,652001,706395,914010,359290
110010070002,482640,441500,865000,185000,793817,785585,944460,549770
110010043002,707820,627500,1363000,87100,1029521,988165,1279950,893920
110010074012,395986,139130,2500000,94500,114634,90120,364650,60930
110010074042,134702.5,110762.5,350000,38500,199471,183180,306980,180090
110010074092,259840.2,277450,361050,122952,250135,244900,286930,240290
110010076013,186790,137250,410000,33900,291196,271605,409730,228580
110010076032,279413.6,274500,545000,65000,365865,322875,655180,240680
110010077071,227190,224950,425000,79500,128952,98600,259700,91680
110010110004,322631.1,222905.5,650000,130000,511780,502160,624670,462710
110010067002,572150,529000,950000,139000,964965,885915,1532360,750120
110010056004,420450.7,414503.5,1150000,100000,846516,744425,1125460,669240
110010096021,174615.5,97838,800000,70000,176205,171370,220320,157540
110010058002,25488330,2350000,230000000,313000,678683,556185,1370280,356750
110010027014,327144.5,360000,581000,20000,660818,661825,771410,602460
110010036001,321024.1,307475,567000,177745,453904,493595,558790,316790
110010091023,163690,112500,475000,44480,318922,317655,334610,313370
110010055004,845454.5,1003500,1125000,205000,925713,885585,1736180,530670
110010047011,284080,165000,644900,40000,572068,572205,576810,559630
110010109001,3727143.5,85000,20000000,11000,80118,67710,112130,65890
110010098101,132813.6,93571,330000,56700,198183,195485,233470,184640
110010007012,335412.5,351250,720000,132000,3607092,236850,34025640,170320
110010021011,379429.5,384500,635000,118795,511750,482860,690840,462330
110010002022,1510979.5,1002500,5700000,365500,1352412,1343760,3004440,694570
110010080013,308162.3,139954.5,763264,19450,566535,551025,658480,513270
110010074093,576104.2,225500,3737745,141900,289324,286570,301810,280490
110010074081,137190,106000,334000,50000,222931,218395,309410,163490
110010049012,772253,587500,2600000,111000,865927,852460,1203880,464190
110010046001,270836.6,189000,525000,49000,671385,624195,832070,602250
110010005022,797060,829000,1310000,289000,1095392,1033625,1386830,865980
110010038001,716649.9,685000,1575000,110599,729704,691995,1145240,594190
110010030001,635880,677500,1125000,149900,818374,761805,1139770,601570
110010111001,290440,302500,580000,87500,456402,412615,576100,352330
110010028012,421565.9,482500,665000,95999,642322,620955,843740,577130
110010110002,258350,193000,1100000,27500,302011,300130,479350,189330
110010014022,699209.9,602500,1721749,180000,1204081,761130,3419660,577660
110010003001,539200,610000,900000,209000,818362,817275,957470,725240
110010002011,923040,869500,1595000,38900,823697,771610,1061560,755230
110010020023,456790,430000,925000,223000,647108,634495,709400,576800
110010099021,194164.6,168038.5,384460,95000,372008,370760,583320,141650
110010077034,223590,204050,650000,35000,242541,227465,379040,183200
110010008011,402750,383500,665000,222500,642940,625760,711660,625760
110010106003,432990,406500,749000,69000,783471,814695,922670,620420
110010001001,1897212.5,1587000,4600000,286800,1708113,1546905,5429290,228610
110010073042,130185,106000,340000,33000,212997,212945,223350,204320
110010040011,1065000,710000,2190000,424000,1021658,850000,2513180,345140
110010070001,1027000,662500,4250000,460000,945693,826170,1924940,638760
110010105002,24351212.9,433057.5,148000000,109182,493000,498370,539120,444900
110010096022,411644,421697,454766,350000,405162,422300,442420,362140
110010019013,274018.3,322500,475000,51000,406207,378805,550700,359200
110010076041,228434.5,141732.5,936000,46000,279200,269010,395830,238390
110010076015,134637,126500,225500,65000,248146,233735,313650,213900
110010003004,593635.8,625000,1420000,144818,883506,874610,1098990,756390
110010010012,552540.9,524500,882500,228500,815322,772370,1044890,693740
