GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
220250001003,700,0,7000,0,9495.2,7267,27800,2510
220330023001,102965,65775,269900,11550,18950,18050,34200,5850
220330038013,595817.8,460000,1975000,553,72681,64480,197500,15400
220330040103,369367.8,397500,550000,57178,45905,45075,51950,43350
220510205084,153245,117250,420000,45000,25337.7,25389,31826,19632
220710063003,69332,66500,188850,7070,18022,17210,28350,7500
220090302001,57467.3,42500,182500,4800,12661.8,12600,21618,4600
220550018023,145850,157500,220000,70000,10219,7705,36500,1810
220710012003,256304.4,266250,440500,110000,23812,18765,39650,12780
220190004002,31415.9,22500,89900,332,14687.6,11470,28462,100
220710099003,484430,389150,1395000,240000,65084,54975,105760,44810
220570218002,30358,4808,114500,0,6318.4,4592.5,14911,2163
220510213002,138380,149000,218000,67800,24773.4,24395,30426,17975
220050302052,77340,65000,200000,10000,45495,48925,79900,8400
220619605003,310900,337500,655000,72500,39535.5,41812.5,65287,11263
220190009002,55694.6,52525,118000,165,14858,11823,28462,100
220479531011,102168.5,82500,450000,2114,16502,14295,31870,8920
220070503002,79964.2,93500,121500,5427,4836.2,4124.5,15640,1313
220510258001,325400,132500,1200000,7000,9565,8920,14850,5070
220510252021,1164926.7,212200,9000000,94667,14289.7,11473.5,25000,3700
220510278091,108173.4,109750,147500,63334,21651,21010,35400,3630
220710006132,78565,81250,120000,25250,11370,11680,19500,3010
220710013013,110850,100000,329000,10000,11338,8830,29610,2820
220710045001,82048,44740,369000,12000,20855,15955,37350,8150
220710075011,80480,83500,145000,16000,9292,9125,11860,6980
220710003002,103500.1,101000.5,160000,10000,8965,10130,12500,2800
220710009034,35543.1,7750,122843,3000,7783,7180,13100,900
220570205001,65650,71000,123000,0,11968.1,8148.5,26384,3433
220510278061,97532.5,86412.5,165000,24500,21000,18505,35400,3630
220510276022,228043.7,139000,1139000,60044,60864,52380,94250,52380
220510272003,59066.7,48000,155000,8000,51980,51450,80550,31000
220510203033,186890,183500,240000,126000,38064,38195,55810,23340
220510205063,223900,232500,276000,155000,25258.4,25389,31826,17975
220730051001,135840,151700,195000,30000,10162.4,9805,14750,6550
220750502003,193300,222000,315000,10000,11325,11230,12560,10290
220510212002,163665.9,166210,230000,95000,25525,25389,31826,17975
220510211003,105990,92000,285000,5000,24773.4,24395,30426,17975
220510239023,456750,311000,1375000,135000,14252.6,11284,25635,4352
220510223022,247840,240700,345000,147000,44590,37420,81590,15000
220510278102,97506.7,98500,140000,40000,15824,13560,38700,8860
220950704001,145990,156950,225000,20000,5483.7,4824,10335,2110
220730002003,186893.6,196000,349250,0,31460.6,26288.5,56891,16948
220730006001,23850,12500,86500,0,7208.9,4488,33156,700
220730102012,329780,274000,635000,185500,24966.8,21228.5,65619,10524
220290004005,89250,84000,152000,53000,3970.3,3601.5,9300,510
220979618001,102380,27250,345000,0,13259,9615,52220,4710
220710121021,830733.3,500000,3799000,193333,104398,74940,459000,12210
220659603001,12650,5000,47500,2000,2249.3,1614.5,5051,841
220710131002,139985,96800,299900,40000,10847,7095,29990,2440
220710033012,179672.1,149950,535000,49000,19231,16500,49500,5800
220710144003,262800,247500,396000,185000,39610,38770,49910,30150
220710018002,279800,267250,393000,185000,29022,28865,39290,16370
220710055001,681830.1,170148,5280005,30000,26267,23130,52800,13740
220710035001,77460,55050,210000,5000,7958,8385,10250,4400
220710036001,116141.2,88500,323000,23000,11303,9505,34620,1670
220710072003,64719.9,52449.5,235000,20000,6695,6590,9110,1670
220710130002,185800,177000,375000,86000,15058,15240,20690,6820
220550006021,71600,65000,125000,35000,7341,5670,16030,2420
220710015001,54500.1,45500,165000,4601,6288,6560,10600,1500
221030410021,131535.6,129141,235000,15674,12232.1,12223,19439,6600
221030405022,175306.7,121500,656667,500,20828.3,19877.5,33663,8859
220450305004,78100,63000,170000,9000,5621.9,6086.5,9903,426
220630406005,48470.7,45250,128000,581,15655,15750,26100,7250
220710075024,111894,25250,793000,6000,6628,6975,12000,1630
220710127004,412451.1,475000,712000,78511,44796,42655,76760,17040
220710064003,153743.6,67218,405500,17100,23524,22000,38880,9800
220870301042,51710,43500,143000,3900,42498.5,36972.5,74590,28190
220870308004,45814,5580,155000,3780,9049,8120,12520,6060
221030408023,118300,59500,420000,48000,30292.1,31974.5,36331,13875
220710025024,117879.1,95000,258000,18000,13495,13830,22000,5600
220710009023,52601.3,58125,108100,2800,9235,8395,13560,6770
220710037021,157960.8,123000,375000,46900,14070,14220,22760,2100
220710007011,50801.1,39725,135000,3500,10603,9485,24370,3800
220890625001,122790,132500,195000,16000,10499.7,9156,17176,3750
220759900000,106575,65000,300000,6250,41512.5,35790,74590,28190
220979609003,14300,5000,50000,0,7826,7510,12940,4020
221190319004,6829.8,5500,24000,243,8895.8,9395,15440,1923
220190025002,119890,126950,201000,35000,14859,15696,28462,100
220510219001,181505,182500,225250,135000,64220,61090,120000,29700
220790123021,129578.7,151933,186000,755,15349.4,16275,20700,11000
220430201002,50392.8,51500,87000,6824,18061,18027.5,27785,6300
220710117002,437200,300000,1800000,102000,27513,20060,82570,6830
220150107012,63923.4,59500,131000,10900,8325,7970,11960,6380
220710094004,52077.5,28887.5,200000,1000,11830,13365,17300,5110
220190021002,13548.9,7500,42000,589,10881.8,12651.5,16360,2656
220510276011,75135,81925,110000,18500,57585,52380,69840,44000
221090007002,31816.7,26500,91000,0,6318.4,4592.5,14911,2163
220510280002,154973.6,156000,288268,15000,20869,21010,35400,3630
220570205003,13147,7000,55000,0,15591.1,16086,30173,3433
220510271002,119200,120000,169000,82000,40577,38820,80550,11300
220510239011,306900,270000,500000,235000,15729.7,15915.5,25635,7242
221090013004,25240,23500,62450,0,25110.6,22357.5,54595,999
221059538002,38750,17500,106500,1000,8551.9,7779.5,12904,4891
220330009004,25750,12000,70000,1400,5970,6350,9300,2200
221030407103,125538.8,136000,169900,8000,10230.4,11787,14467,3500
220510205023,138660,151500,185000,90100,25424.1,25389,31826,19632
220710006021,74483.7,65802,153000,24000,7008,7595,12140,2790
220710006061,211430,208500,310000,145000,18622,18970,22260,14400
220170246013,52455.3,12000,333334,0,2579.3,2334.5,5919,1044
