GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
310430101001,115432.6,117000,163000,66000,159983,154922.5,241145,122670
311530106323,239000,337000,398000,48000,451584.4,455661,505357,392535
310359622003,111386,14750,560000,1500,172036,132555,513165,63840
311530106193,443600,365000,813000,123000,134154.9,135521,146832,111435
311530101071,92730.2,91000,128000,68302,103354.5,110521.5,124099,47573
311530102051,152000,104000,391000,21000,244599.2,276935.5,347622,91200
311530102031,297400,91500,2100000,76000,111869,94335,157742,78288
311530102052,169200,170000,216000,143000,211659,205518,247930,177992
310119601003,99433.4,75000,272000,1778,135384,124992.5,240280,70035
310119602001,101233.4,57500,308000,1778,114659,105230,248320,49525
310899741001,24540,21250,70000,3500,75201.3,72560,140530,32820
311399792002,189524,192000,500000,2000,195678.5,213477.5,440180,25470
311399792001,393820,115000,1534000,28000,120418,107995,210790,36740
310259660001,163933.2,147500,366000,50000,181544.2,168935.5,262449,105512
310879627001,248144.4,150000,864444,30000,43438,37132.5,96475,7865
310879627002,289544.4,169000,864444,30000,60465.5,62975,133095,11245
311659501001,100700,79500,275000,20000,174147.6,196409,282213,7358
310079540001,190500,186500,350000,10000,69598.7,68275.5,101082,37935
311679621001,169340,100000,536000,2400,329904.5,342285,475540,153065
311679622002,104800,123000,169000,15000,165652,175850,216140,94825
311530101034,214000,200500,365000,107000,299577.1,272553,456080,217099
311530101033,219874.2,226500,375000,59742,271676.4,268083,368122,168865
311530101052,111546.5,113500,147000,83000,123357.5,124186,142067,101958
311530101065,86097.2,81243,150000,34000,104364.8,94533,159291,66197
310550074381,88828.7,74500,235000,1500,150000,142100,288800,85500
310579623002,129322.2,104000,347000,35000,78102.3,27393,315779,1670
310579623001,159500,121000,570000,30000,15282.2,6654.5,80417,864
310319558003,110950,118500,162500,50000,184933.5,166664.5,290728,121083
310299619004,199122.2,104000,900000,35000,281622.2,269146,474620,172290
310239677002,58697.2,57000,118000,6015,131631,88140,414155,36180
310550059011,44100,26500,200000,9000,29870,25850,48400,22500
310550060004,47400,46000,119000,1000,62470,63750,85900,41000
310550061011,70510,40500,275000,13000,71520,65250,123000,37300
310550061023,36979.9,37000,59000,7500,47080,45500,80400,24900
310550062021,70700.5,90000,140000,1000,116280,125100,215000,28600
310550075111,208400,70000,573000,55000,322140,315150,411700,200700
310550063012,84397.9,90489,180000,12001,82600,88200,125200,4800
310550069031,160100,154500,223000,71000,193220,183600,241700,149600
310550074382,388800,414500,790000,30000,553840,525550,920300,353300
310550074421,232700,242500,275000,170000,227340,231900,263300,172600
310550074483,396800,377500,625000,219000,447830,438700,522400,388300
310550074634,129920,130000,155000,103000,135750,133400,179100,112500
310550074633,120848.3,125000,145000,88483,148890,150800,194200,105400
310550071022,256991,118955,1500000,76000,97940,106350,118400,57900
310550074452,152700,136000,250000,80000,120320,119200,158400,93300
310550011003,52054.1,19000,300000,1099,43580,45350,68800,25700
310790002004,122505,113500,265000,63000,176138.8,182021.5,274256,86691
310550074363,97810,92500,142000,63000,127240,119850,154100,110600
310550074482,217200,220500,265000,163000,240160,239100,294100,198900
310550074642,207200,126000,427000,98000,215620,121200,471800,102500
310550050003,278300,124500,1050000,75000,132050,131300,188200,85800
310550051001,64901.8,65509,131000,10000,56790,60000,84800,23500
310550052002,34726.3,18500,83625,1855,45770,49500,70800,22600
310550051002,135600,45000,750000,18000,77320,69600,128400,38600
