GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
420171055051,324700,357500,409000,190000,32718,32000,35680,29600
420792155044,90545.2,69000,239000,1452,143770,119400,385200,77400
420031920005,61320,61200,120000,7000,60710,56500,97000,32000
420912088021,120640,108450,198500,96500,93177,93840,102150,84200
420912016052,141490,119500,225000,88000,94246,94445,109450,82400
420912060061,178520,153900,290000,75000,124586,123130,152030,109210
420912008002,151628,147500,285000,1520,145415,164450,177350,88090
420912036014,49538.2,50250,108150,2132,52684,54335,66040,30770
420912009072,193280,158450,385000,75000,127980,117870,177970,108310
420912034033,218790,213950,290000,147000,144326,145625,165690,124000
420912009073,201400,194500,293000,119000,128404,130835,140550,105490
420912059042,515155.7,499065.5,900000,44426,371040,353115,570600,228580
420912057005,170240,181000,266000,1000,107515,89795,251670,73970
421010019002,173471.5,53500,447000,1000,0,0,0,0
420912005022,215340,209000,380000,25000,145040,136230,275470,100090
420912009082,381976,292885,800000,257865,134421,140820,146950,86310
420912016041,159201,137750,262000,75000,120198,120430,136600,107130
421212013003,60049.9,63803,118000,1860,58960,59935,90870,21570
421212009003,16684,16500,38000,1240,23531,22105,39050,14580
421212005001,162000,48500,1200000,5000,41188,34970,103050,10990
421090706003,3801290,162000,22000000,23900,54950,25230,160900,9110
421090704002,2173215,117000,12500000,12500,13919,13715,24020,4060
421090701005,142250,156500,184000,35000,181840,168300,258500,118200
420834203001,118434,119500,267490,10000,56636,59505,79960,25390
420171003041,2093827.1,2378750,4000000,1071,13561,13065,25200,5280
420834204001,58519.6,41514.5,159900,2091,85132,87690,156280,36230
420834211002,25470,25750,54200,5500,31199,27945,46790,23410
420850313002,257800,276000,340000,40000,121700,136900,204100,28400
420850322001,87007.5,84987.5,160000,26000,266720,175600,876000,110400
420850309003,58904.9,65500,105000,1292,105370,100550,169500,68000
420850318003,121110,86575,275000,6200,81483,93995,126830,23110
421059502003,95408.9,57544.5,270000,25000,61770,62320,92820,31870
421059505002,43370,43500,70000,18000,90132,80510,240240,32840
421059504001,153800,41500,950000,3000,52702,52315,136900,3580
420850303002,11459,7550,39000,1000,101000,97250,148600,68000
420454014024,140040,109950,250000,81500,93688,88270,126610,73870
420850330002,109988.9,120450,175000,20989,81460,66500,209500,26300
420850334001,96826.4,10750,800000,1467,104150,94100,179400,65300
420850333003,65323.9,68500,94559,5000,95800,95400,128000,68000
420850314003,49186.7,53185.5,93000,2397,115440,117300,204100,28400
420710117013,1710990,315000,9350000,178000,552600,282150,1723100,250300
420710132032,277125,231250,800000,125750,357300,209100,1649300,128000
420710121031,227139.1,163000,780000,19633,203180,182450,365200,161300
420710123012,85760,86200,130000,3705,146720,140950,189500,114100
420710113003,85735.7,89446.5,148000,1866,112030,112150,147800,68500
420710002001,82607.9,71750,204900,2879,88620,85750,101000,80000
421010210003,152968.8,171950,244500,5500,0,0,0,0
420710001002,341120,341250,565000,75000,297120,257650,670000,95200
420710120013,160260,149950,222900,103000,155480,157300,200000,106200
420710120021,118910.6,137450,247000,3992,162840,160250,230800,91200
420912016073,338200,319500,510000,160000,215764,210935,369530,135690
420912041011,187750,182500,390000,25000,116119,110110,197460,80640
420912017062,298330,291250,425000,138000,148921,152360,175000,120510
420912036012,30799,33500,65000,1633,47740,49540,59400,31900
420912017053,387150,394500,700000,60000,191251,178325,295000,140500
420912087032,122814.9,115450,335000,1749,121884,122020,215100,63630
420912034021,124697.3,106500,225000,1975,109452,116650,124180,85400
420030501001,16453.6,17750,23676,6660,18655,18800,36600,4000
420912073001,159724.2,166500,225000,1642,109361,117580,126340,28800
420912105003,339200,345000,490000,187500,204695,184965,256700,170000
420912007041,797101.5,587500,2200000,5500,141136,128485,185770,107980
421139602002,69540,72500,185000,5000,81650,77800,148200,41100
420850317002,55070.9,57640,119900,1119,113600,117300,169500,28400
420850334003,13212,15916.5,24600,1000,101000,97250,148600,68000
420912069062,416574.2,412500,854242,216500,193142,198490,216100,145540
420912047022,352600,341000,485000,257000,275629,277705,337610,224920
420912014041,425850,442500,575000,160000,239739,243720,317880,183410
420912058053,226850,235500,342500,136000,131268,130235,144620,116760
420110004003,35696.8,36200,78000,1400,55570,59400,71700,33600
420912053001,755903.8,775000,1791038,138000,148307,120805,238060,93370
420912024025,210623.3,209500,435000,2408,199620,188650,270000,159000
420912014071,189050,185750,260000,120000,127251,128270,151240,97180
420850332003,15264.5,8800,36432,1000,101000,97250,148600,68000
420879602001,168680,181450,370000,10000,50150,49125,76950,24100
420879608004,45110,31000,97000,3500,20060,16375,39300,12650
420879609002,114460,130000,180000,11100,53235,53325,67900,36100
420879608001,46545,42725,93000,2500,39005,40525,48550,27800
420879609001,43770,40250.5,84900,7500,30520,29975,38450,23700
420879607001,46768.4,45000,99500,3184,20525,19400,29250,14250
421150320003,141650.5,95000,540000,24000,32082,22275,118420,11100
421190903002,114930.6,121300,200000,3206,140730,148950,182500,89700
421190907004,167782.5,148750,313000,69325,141450,128700,228300,90800
421190904003,107527.2,110000,212000,3478,109450,93050,181400,77600
421179507002,57665,47500,133000,9900,68971,57595,142150,16920
421179507003,162032,164710,280000,30000,91803,73950,191060,49970
421179502003,229690,141150,977100,58000,67361,65275,90620,48810
421179506002,115545.6,127978,179000,32000,76296,74260,119920,31350
421179504002,80590,79500,147500,9500,64886,57195,86470,42310
420430247002,155950,168000,248000,23500,118750,115700,158900,97500
420550118003,253000,170500,725000,55000,18281,16615,36400,10580
421010028023,209150,196000,468000,95000,0,0,0,0
420550123001,562840,93000,4851000,15100,10451,10850,15900,5250
420550117001,192990,131500,797000,40000,14685,14230,21050,7030
420550118002,179250,175000,225000,141000,23529,23490,27890,18830
420550103002,156340,163700,173500,130000,19168,19800,21070,16110
420550112001,101815,89000,180000,52250,9868,9920,14300,4270
420550105003,133613.3,122166.5,300000,43000,11804,11570,18430,5270
420550113021,273750,283500,688000,10000,21977,19940,35110,13450
420950102001,265240,259950,369000,204000,95530,89350,166200,74800
420950103004,164680,153500,395000,68000,50240,51250,70700,32500
420950103003,136421.6,148750,215000,1716,44180,44250,50700,34900
420171055081,377940,289250,610000,208000,49194,47245,74390,36400
420950107003,108599,97500,215000,1490,39660,35950,54900,32900
420950106007,125499.7,125248.5,147900,91700,36820,35450,44700,31500
420950101001,187894.7,209500,252280,2367,77100,78350,92500,56800
420670703001,123590,125000,295000,5400,27211,24070,44590,7770
420670704003,136153,149950,269000,6000,28260,24210,60320,17090
420770023014,256264.2,134750,760000,65000,413560,409700,612200,284300
420710118042,240935,188750,470000,115000,231410,217600,365300,147100
420710136022,132290,135500,215000,83000,166790,159850,216000,129500
420710137021,172419.1,160634.5,242500,145940,204110,202900,238200,173000
420710109004,117833.8,122450,196000,5458,179640,133500,600500,119100
420490107003,107990,115500,146000,35000,98270,92865,125020,84400
420171014013,227300,250250,285000,115000,24020,24535,27600,21200
420710115033,181430,186500,227500,135900,177430,176550,195400,162600
420710128001,228836.1,202982.5,314900,167500,246020,247350,300600,178300
420710139012,150790,158500,250000,42000,183090,178650,265000,105000
420710131011,618224.2,458750,1783455,20000,638420,612900,1136500,146000
420710121023,187730,164950,690000,50000,259170,163400,930700,113300
420710115032,150451.5,151875,228900,55965,174310,157100,275100,90000
420710003004,127380,96000,256500,35000,111470,103400,186500,64100
420710003001,82840.2,95950,112000,3602,111850,111150,129700,83500
420710004004,51600,52000,100000,12500,113420,121350,187400,66400
420710005003,91370,79500,172700,57700,136070,135100,150900,126300
420199127005,243850,193250,490000,125000,141180,118700,248000,84700
420770069062,210410,205300,349900,83000,588790,370900,2493700,143100
420792162005,76240,73950,195000,3000,91070,79100,170300,31900
420792162003,79342.6,61437.5,159000,2251,139130,135250,251200,50700
420792107001,66128,61490,136000,16000,80090,79300,116500,47200
420792116003,151740,125950,625000,20000,185960,187000,339200,72000
420792128003,162565.5,167500,235000,1555,174590,169550,213900,105700
420792136001,26030.8,7500,149700,1492,90110,94250,145200,31700
420799801001,1565374.9,1125000,4358300,175000,161520,143700,404100,84200
420792144002,89911.8,101000,150000,1518,136280,137100,175000,92000
420792120002,43110.8,48090,80800,1628,57020,58400,65200,45700
420792170011,23856.6,7000,92000,1178,65980,58800,103400,44600
420792120001,45580.7,35000,160000,3667,60140,63250,84400,30600
420950101002,182540,178750,240000,138000,56490,56150,59700,54000
420950170002,171960,180000,255000,63000,50480,50500,67000,38900
420950104002,155270,152450,249000,110000,50760,48800,63800,42300
420950106001,124991,158750,195000,1505,53200,52800,70000,45300
420792121005,153004,162500,240000,1540,130660,106700,258200,88500
420792110001,126389.6,61000,323000,1517,227170,255400,317300,45000
420792109002,58878.9,49650,170000,3693,64930,59950,116400,39200
420792002003,337177.2,96500,2617200,1919,161860,151950,261200,115900
420792005001,70780.5,37000,200000,1755,63920,64000,106700,35000
420770023011,177990,189950,229000,116000,190040,187800,227800,150100
420792008003,46179.8,47800,84368,12000,49690,46800,89100,33300
420792114004,212096.7,172500,549000,8567,408390,307400,840200,134100
420792127003,58425.5,42086,162000,1746,107910,101050,162300,74000
420792128001,148900,148750,265000,41000,103700,106750,188000,30000
420792102003,73929.9,59450,165000,3499,84340,80650,138000,44800
420792180002,70663.5,70000,135000,1698,98900,86800,145700,56900
420792141003,32311.8,23250,75750,1243,66280,64650,94900,44000
420792001001,118261.6,126000,274000,1377,168380,153900,306600,141600
420950172001,271055,227450,875000,73750,46240,48800,56800,33400
420950173002,152959.6,131000,400000,2064,45180,42600,61300,35100
421010134023,181497.3,174986.5,345000,10000,0,0,0,0
420950142005,230895,209450,375000,125000,89920,88600,168800,47000
420950142004,125765,104950,370000,24500,34930,33950,46800,28500
420950143003,98793.2,76250,299900,1532,32250,31300,45000,26300
420950145002,80135,75050,141750,21000,39000,37900,48400,32600
420950110003,100610,93800,157000,37000,31010,30650,44200,24900
420950112001,98838.1,85500,280500,31500,27700,26900,50300,20400
420970802004,106716.7,120000,164500,1017,97610,100350,160800,55600
420659504002,83190,79500,132500,40000,25389,24285,42230,13730
420659509004,90810.2,11904,355000,1042,52234,60080,84060,15430
420659511002,58289.5,23500,219000,1000,47866,42425,129750,14290
420710008004,501760,55500,4305000,2432,163150,90550,380100,50200
420659508003,40150,46750,75000,2500,20149,17930,41500,8470
420792172002,14679.1,17500,28500,1050,56120,55200,75300,38300
420792127004,76542.8,87000,124000,1709,104210,104400,184800,57400
420792141001,15599,11250,41000,1141,78820,72850,137100,32000
420792016002,104533.2,115000,161000,1832,112270,123950,157900,61200
420792110003,51601.1,31125,179000,1557,112310,104200,219800,44800
420710007001,52632.9,52450,95000,2529,71560,66950,100800,62900
420710008003,41999.3,50000,73000,2993,61270,48050,138900,35500
420710012003,86470.3,105000,124900,3703,90050,88450,97000,86200
420710014004,40446.9,28250,109000,2235,56180,53550,78000,43600
420293028022,546020,518950,850000,360000,289814,261610,446650,206850
420710118023,243890,237400,360000,169900,238510,240250,325800,147900
420710134001,94951.3,94981.5,135000,68000,143650,143550,222600,92000
420710135032,449665,460875,585000,315000,557720,482500,1022600,321300
420710007002,71764.1,80500,120000,2434,105250,103000,133800,81200
420710124022,132790,109000,240000,82400,197690,180450,456500,132100
420710143002,144690,145000,205000,67500,157250,157750,190100,119200
420710114002,105782.5,83000,300000,4025,136550,110500,255400,79200
420710101022,160740,160000,239000,95000,162670,162600,201400,121500
420710146011,119765.3,103500,265000,3146,334430,229450,1406900,144000
420710116002,152675,137500,235000,109250,167620,168650,197600,123500
421010147002,61068.6,46827,200000,1622,0,0,0,0
420970824003,86021.2,90000,127000,1212,36251.2,32773,63814,8955
420792128004,218251.6,202500,425000,1606,272890,267000,398600,150900
420792176002,70653.6,35000,219900,1055,128300,126100,243100,46200
420792178002,44004,31500,155000,1141,86130,70500,165500,60000
420792112045,148284.7,83500,415000,1162,218480,216650,354600,78800
420792009004,26903.2,31000,50000,3500,50440,46500,108800,28200
420970803006,70650,68000,138000,20000,92940,86200,148000,54200
420970810001,6646.3,5250,18000,1658,44570.5,43206,59494,31264
420970811002,14305.2,8750,37500,1666,44570.5,43206,59494,31264
420970806001,45022,40100,126000,3686,185380,170250,258500,155600
420970803003,81736.2,97500,123600,5513,136720,128400,251600,54200
420970815002,20340,12850,53000,2700,44560.1,44371,76367,21766
420970815001,17219.8,16500,43500,1293,44560.1,44371,76367,21766
420970817003,30253.1,11810,140224,1499,45628.8,45431.5,76367,21766
420970820003,49167.2,44500,97500,1272,189870,174100,258500,155600
420970822002,44124.6,40450,90000,2146,189870,174100,258500,155600
420619513001,52740,33500,250000,6000,9576,4440,33120,2080
420730102021,97230,72500,210000,38000,197930,204450,305700,66300
420730105003,81743.3,72700,185000,9500,97380,86200,189600,58800
420730108003,156963.7,88500,850000,3437,77830,73850,134000,54100
420730007002,14648.1,14500,32000,2002,36510,34750,59400,26500
420131006003,58940,58500,110000,19000,64930,61900,78200,55700
420792103002,61918.6,62870,130000,4426,99220,85700,219700,64200
420792123001,82606,72005,182000,1550,97400,89500,205900,36100
420792128002,384000,304000,1070000,179500,366010,355200,550000,193400
420792111013,92490.3,51250,325000,2503,116850,108800,193900,61600
420792167001,50000.2,61400,99000,1302,88280,85900,134600,43100
420792142001,50098.7,45950,125000,2234,77240,60950,141700,50300
420792134003,164407.2,182000,297000,20000,171760,190200,269500,65500
420730110003,136710.8,115875,400000,33000,90250,82550,123100,67300
420730104002,106542.5,84962.5,217000,20000,96780,93450,153000,62400
420639601001,116963.3,107000,365000,2500,116530,102650,234700,52000
420639612002,127500,126250,225000,60000,100970,95350,149300,70600
420810116023,113440,114000,175000,79000,93063,86260,144860,66290
420639612001,73740,62450,150000,45000,75320,72750,98300,65600
420639611014,67050,72000,110000,7000,97880,97850,121500,73000
420639611012,92747.5,91875,127000,67000,108910,106550,124800,89300
420639607002,155155,157950,171000,125000,160320,164600,164600,142700
420912054004,3154200,3475000,6000000,300000,119075,82810,499440,41490
420912046003,517270,459650,807500,185000,367417,362230,421600,324610
420912089051,142752.5,143100,171125,100500,103861,101955,125550,90580
420912089061,87373.7,101450,139900,1377,60999,64220,70260,45980
420912079001,112322.6,122500,185000,1426,94401,94310,115000,82930
420912064002,218640,220000,360000,112000,147204,137865,196020,115050
420293024001,275876.9,249000,540000,99269,165508,133185,308000,99420
420912034031,283840,303500,320000,230000,157128,149260,227340,139230
420912039021,143729.7,117314.5,450000,2243,83213,73270,151830,60570
420912072022,195051.2,203750,291400,106312,104037,101675,120660,93180
420912040102,316142,303560,575000,146000,230785,266630,331340,141680
420770023023,149675,151250,260000,50000,145690,152250,219200,41900
420770063051,1049889.7,223017.5,5400000,115000,179220,180600,277600,112400
420770056022,169930.8,193825,288000,1658,271580,266000,431000,187300
420770059013,143811,149500,195610,25000,185020,177300,267300,122500
420770060011,200740,198750,265000,133000,224020,218800,265200,183600
420770061025,144218,141250,193000,93000,170070,166050,186200,164400
420030603001,39400,35000,70000,22000,39140,33200,87100,20200
420770057021,148480,147450,234000,77800,144720,133300,207300,114700
420770022012,143011,128500,265000,1591,116960,111800,183000,88800
420770057032,120730,139250,154900,56000,125230,121900,162800,93000
420770093004,184519,164000,271290,87000,159250,154450,207200,123900
420912057002,1825133.6,200500,16520000,1836,85066,85695,109090,68290
420912013013,263590,277500,389900,91000,142751,155030,231240,51500
420912035004,133977.6,139325,224900,1499,85909,100600,101240,39620
420912041014,173780,145250,314900,100000,104935,104200,112320,97600
420912060062,909017.2,247500,4646250,85000,134642,128740,161270,117170
420912089053,112524,128500,158000,63000,85650,95145,111620,44790
420110112004,75226,72450,137000,2000,71560,74300,84500,52200
420912081002,152740,136750,264900,65000,100061,97240,123510,80460
420770063022,205674.5,158500,355105,102000,190840,194100,249900,108200
420535302013,25850.8,12000,80000,1428,45892,41025,93030,10040
420990301002,204025,174000,550000,30000,142610,134900,208900,111500
420619512002,82950,51250,350000,25000,18526,16480,32700,7680
420639611022,440053.2,237500,2080000,25000,116430,116900,170000,81800
420639610001,141291.7,168750,193617,16000,162510,170050,265900,105900
420639619004,37088.5,24750,95000,1235,80180,86300,120700,40500
420770065002,126655.2,125126,184900,85000,139330,125500,260500,114600
420770020003,118221.6,117950,218000,1816,122630,123200,136700,107700
421010042013,68430,59000,110000,30300,0,0,0,0
420770017002,64170,54950,110000,34000,69640,69650,85400,63600
420770016002,88886,77500,199000,10000,65940,61700,115800,45400
420770008001,62340,56500,147000,14500,76340,67650,141900,48300
420770010002,30020,26500,75000,10000,68050,58300,196400,35900
420770021001,66220,54400,135000,33000,92110,93050,109900,80400
420770014015,116550,124500,185000,21500,141320,141750,179900,106300
420770015022,107949.9,119699.5,181000,1000,148390,147600,182100,102200
420770001023,69290,70950,107500,27150,91980,89800,148900,71400
420770015011,127486.4,132000,170000,68000,121120,120800,144000,106300
420770095002,147190,134750,240000,39900,115540,118050,210800,27900
420110001005,185902.4,183500,291924,80000,20280,22000,29200,6400
420770069022,476402.1,395000,1000000,185850,199660,206400,258600,144500
420770051004,89254.4,71250,225000,20000,92680,84750,154100,72000
420770051002,79955,79500,121500,30000,109230,96200,174400,62800
420770014013,95429.9,103500,132000,35799,102870,104300,127100,85000
420770065001,187750,152500,410000,77500,297330,161950,1644700,92800
420950160012,223180,214500,335000,59000,83710,85800,118100,49300
420950161001,121651.3,133500,180000,2644,39140,40100,57400,29300
420950160024,110443.9,106800,240000,1539,47790,51450,60600,32500
420950141002,169090.7,166250,325000,3546,60970,51100,133200,39700
420950156002,783865.6,67050,7333170,2082,32220,32800,42400,20000
421010341003,151100,108500,255000,82000,0,0,0,0
420950141004,96724.2,110500,173500,1267,42380,42900,46500,36300
420950152013,163191,165500,245000,105000,72300,70800,84300,61100
420950164001,197880,187450,370000,68000,76700,78150,105400,47500
420199117003,113497.4,116050,190800,9000,37494.5,36450,59400,18100
421330231005,66878.9,69900,120000,2262,99504,82020,192950,62350
421330231004,107467.3,104400,256000,1907,82035,78210,122710,71190
421330101302,157100,158950,220000,101000,140415,137105,159340,127130
421330102205,145880,147750,185000,110000,115735,114960,125300,107900
421330101301,264040,261000,350000,185000,258588,250500,318560,217620
421330105201,155500,158700,210000,117900,151560,152100,182440,125230
421010027012,81300,76500,160000,1000,0,0,0,0
421330009002,59081,53655,120000,34000,45171.6,42040,59940,36126
421330104003,144647.3,142200,220000,59073,136875,129770,177510,120110
421330214201,120746.4,113500,172000,93664,136492,136085,164550,116570
421330224022,621607.6,170950,2525000,61000,138064,145795,173880,73580
421330213005,80285,80250,98000,63800,76391,71055,94020,67410
421330232001,68123,61250,161900,1805,95567,84035,138020,68110
421330230001,85264.9,88500,153745,1607,96948,89085,191980,54100
420032902003,58630,48000,125000,27000,61580,65000,93800,25800
420033001004,24025,20425,49000,13000,23920,27950,32200,7300
420033204002,44674.4,41250,99900,1837,39310,39700,48900,30600
421010172022,26580,20000,70000,5100,0,0,0,0
420033207002,32890,38750,54900,6100,52860,46850,106800,30700
420034656001,173223.5,77500,977235,55000,68080,68700,142000,24000
420034656002,150000,172500,250000,20000,149840,137400,340000,82900
420034754012,170090,144750,321000,105000,155330,150700,203100,131700
420034801022,102867,95950,175000,11950,107730,106850,143700,76400
420034803003,64845,68825,114000,21000,71660,71100,98800,40000
420034790001,183369.7,197500,220000,50000,164220,157350,220100,135900
420034753012,118900,96000,223000,62500,141620,128300,234100,48700
420034753044,193430.9,163704.5,296000,124000,188070,169100,278000,114800
420034781003,80400,72500,121500,20000,73570,72750,87600,56300
421010164001,38980,20500,100000,2000,0,0,0,0
420034572001,66651.1,64400,124000,1699,72450,71550,101500,47600
420034572004,193160,204300,270000,79000,154510,133200,235000,98000
420034689003,113490.3,107000,185000,35153,91510,79050,166600,47000
420199119002,203630,133000,628300,25000,29859.5,23450,50145,16200
420199025002,115035,71250,531250,20000,38069,39812.5,67800,20000
420199030001,126440,107500,250000,34900,104700,97050,205200,31300
420199106002,73150,61500,249700,2000,31651.2,24365,83680,13152
421298023042,236525,228000,350000,133250,50569,51395,55530,42530
421298025001,50023,61865,86000,5000,11938,10030,27070,7700
420034070022,136990,85250,509000,20000,136750,142800,225100,72500
421010110004,39460,15000,180000,9000,0,0,0,0
420035624002,25333.6,26750,55000,2840,29780,29150,58200,3900
421314007002,101821.7,87714,255000,3253,209440,218250,299700,122700
420099607002,74937.8,76950,145000,1064,85790,76400,155900,52800
420099603003,100765,108975,149000,42500,75870,68950,138800,39800
420099609003,97855,74063,234900,1024,120780,120250,216400,54600
421070001004,108217.1,92500,260000,1016,70893.5,67085,117220,39260
421070018002,60900,62500,105000,22000,30387,30287.5,39580,17610
421070001002,73190,69950,159000,9000,39751.5,42775,55445,23335
421070010003,27840.6,18500,69000,1000,14139.5,12167.5,24280,8830
421070028002,40229.1,41000,68000,12500,14003.5,12260,28580,8790
421070032003,57827.8,67500,130000,1139,24262.5,23825,32165,15735
420110120024,158280,170000,199900,89100,92010,88050,133300,74400
421070008004,84646.3,54754,400000,1055,24767,20475,49515,15040
421070009002,17076,13000,40000,1000,9953.5,8820,17945,8085
420034560031,238211.7,284064.5,392000,41456,275900,286200,378000,85500
420034508001,240100,26750,1200000,5000,13900,10300,35200,2000
420034508002,56530,53750,150000,10000,27880,26850,58600,10200
421070012004,142150,176000,230000,3000,35145,30130,52160,21505
421070002002,36018.4,32950,58000,1134,17878.5,16050,29005,15240
