GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
551010008001,34790,29000,75000,10000,39980,41900,49500,23600
550790068001,45224.2,43950,80000,15000,26600,30100,32400,16000
550870125061,245570,219800,504300,79900,153380,103000,518500,65000
551050005005,94011.4,101000,152900,26000,171210,150650,328800,61000
550050001003,140140,122450,379000,16000,149980,148750,194900,115700
551170102001,137450,132500,242700,45000,241450,183250,595000,159900
551050017002,62496,62000,111960,10000,58010,59200,83600,33100
550250030013,173670,173700,198000,157800,189650,182750,225000,174400
550199501003,81090,85500,150000,8700,151360,137300,243500,109700
551332022025,228090,166450,555000,110100,161360,141550,404100,42200
550791862002,62143.3,60500,118000,13500,51680,49000,66900,42500
550790157002,152990,87500,310000,37900,47250,43550,82500,17500
550250008003,238840,242550,284000,196200,273490,274750,326400,226400
550790601022,255300,244500,358000,167000,86280,68500,232000,49700
550630002003,101540,92000,247500,30000,136990,132100,210700,100200
550459605004,56055,56250,125000,1400,158030,160150,206400,96900
550870115022,135252,133950,155000,120500,113030,113150,120000,101300
551050004002,67410.3,78500,105000,26000,118460,116150,187800,51700
550870120002,208120,162700,550000,94000,332540,316900,627300,202400
550730022003,88790,98200,193000,5000,156150,148550,243500,109700
550219710002,241520,270600,517500,1000,309130,309500,378700,187000
550870103001,74670,81900,127000,35000,100360,96900,138800,60000
551332043022,239160,228600,347000,175000,972590,666950,2167200,394600
550870106022,155150,149000,206000,130500,141380,137800,165500,125500
550791008002,153620,154000,202300,94000,134240,136750,154500,97600
550019507001,106310,78050,271000,12000,151190,149600,188100,124200
550250026023,81263.3,82700,117900,32000,70910,71450,88800,56300
550790012002,49080,43500,92000,10000,48310,52200,57300,31100
550339708003,267188.4,165442,1125000,37000,143280,132200,196700,121000
550790092002,115590,110000,212500,60000,100230,91300,207500,63800
550250004052,1400613.2,311983,4400000,134666,219400,223450,249400,187600
550790054003,101314,115000,147000,45000,121130,120100,133800,108000
551110004011,241890,272500,347500,30000,246700,196950,414200,119900
551390027001,173720,163750,428400,25000,210890,187500,340000,159800
550250116001,1754800,1375000,6603800,72000,247050,245550,290300,196900
550870115023,172880,176950,240000,110000,179290,185450,219700,141600
551332029021,170280,160150,253000,100000,196650,196450,221700,181200
550790029002,64450,52000,122500,39000,50930,51900,67500,28900
550630012004,125870,138900,175000,66800,136990,132100,210700,100200
550310204003,169630,177950,214900,76700,129700,138650,155500,52200
550090014004,86530,89950,135500,49000,90990,98550,112000,62800
550350007005,120865.1,115900,175000,89250,113890,105850,160600,90400
551332016002,159230,103000,340000,38800,290830,261250,565300,160400
