GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
500070026011,149742.5,141500,235000,20000,249790,235350,324000,200100
500039712006,75000,78250,121500,20000,255840,257450,341500,127700
500070031003,265328.7,295000,400000,48500,234840,234450,259300,199200
500239553002,167300,116000,480000,6500,330249,324840,491810,120150
500039709001,54200,57900,116000,5500,255840,257450,341500,127700
500019610002,98390,84950,203000,17500,183100,183700,298500,77400
500059578002,85308,66250,253500,7680,223463,204305,350550,122130
500219633003,201950,142500,675000,58000,159940,143950,288200,43600
500110108003,128790,132950,197500,52500,186490,182000,286200,148100
500219622002,176022.2,144311,600000,1500,179490,183700,298500,77400
500070034005,350383.7,358950,540000,70000,560090,581800,841600,249900
500259682001,136600,117500,349000,5000,255840,257450,341500,127700
500110107004,84310,59750,190000,20500,114680,99000,184000,99000
500179593002,91850,69000,260000,8000,318430,238700,778200,38000
500259687001,173677.5,121000,490000,21875,255840,257450,341500,127700
500279665002,127000,120500,217000,49000,251750,236850,401300,114200
500039705001,229175,220000,465000,1000,255840,257450,341500,127700
500070001002,214305,195000,350000,115000,275090,257900,330800,235000
500059571001,79800,57500,151000,26000,197860,180350,401700,104600
500110101001,115200,124500,205000,29000,253700,213450,542500,140200
500039708003,207640,207000,260000,117500,286740,271500,436700,182900
500039712005,210550,142000,575000,102000,255840,257450,341500,127700
500059576001,143396.7,152500,250000,24166,196200,179900,401700,104600
500070006001,240533,166500,583438,20392,269090,270350,334100,210000
500070009003,354370,320000,725000,65000,286930,306250,383600,188800
500239543001,136050,125500,340000,25000,315370,281450,752400,83400
500099505001,52550,31750,160000,5000,196200,179900,401700,104600
500219622004,61675.4,47500,190000,3000,176930,192600,233000,106800
500259677001,93400,96500,250000,10000,255840,257450,341500,127700
500070022002,334173,337500,520000,34900,389580,203000,2018200,105300
500019609002,156516,101200,525000,25000,194370,201850,327800,77400
500059575001,85910.9,25000,300000,5000,198730,184450,401700,104600
500279667001,87376.7,78200,195000,38000,243590,236850,401300,114200
500219624001,185344.5,180975,277495,110000,284900,215900,716400,170500
500039704004,371045,362225,975000,22000,255840,257450,341500,127700
500239551004,136976.9,112500,449797,34000,127548,118690,191870,83530
500239550002,122060,117750,229000,44600,164970,156100,280700,71900
500070023022,159730,176250,285000,39600,201860,219250,258100,140000
500199516005,871370,97500,7800000,48700,180658,157000,311420,71700
500059572002,127452.5,125000,235500,6025,197860,180350,401700,104600
500070033042,336155.6,354750,652131,113000,745470,790100,1146700,244800
500070035023,265566.6,252250,455000,41166,635490,532300,1354200,241600
500019605002,196980,211500,280000,68900,290960,271700,454800,223300
500279654002,589065,356875,1562500,123000,243620,218750,393700,177300
500199516004,68530,43450,180000,4000,187457,183830,311420,71700
500070011001,203203,179365,369900,110000,251030,259300,298000,204600
500059570003,62030,33500,169000,2800,197860,180350,401700,104600
500059570001,102750,79250,230000,10500,197860,180350,401700,104600
500159531002,187243.2,212000,285975,29167,247670,259000,305900,175100
500239543002,111320,58000,387000,10000,266060,241300,425200,160500
500239543003,104447.1,102485.5,242000,4000,449300,329900,1007100,176400
500059571002,93550,76500,189000,10000,197860,180350,401700,104600
