GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
440070169001,198925,175750,343750,135000,243830,253650,288700,175900
440070145011,447900,471250,719000,220000,443770,442650,539700,356700
440070101021,273600,96250,1925000,19500,164350,163850,195900,127600
440070102003,163990,154950,280000,85000,167140,160050,204400,136900
440070102002,133610,124500,270000,70000,158920,150000,282300,103800
440070104001,154500,157500,223000,95000,156200,154900,187000,130200
440070163003,135260,104500,280000,60000,166200,168100,198600,133500
440070163002,157532.1,150910.5,252500,96000,183030,184450,216000,154800
440070168002,125361.8,109500,303000,2118,169860,165000,192300,150900
440070169003,175127.4,178779.5,248665,71500,175460,175050,200200,157600
440070001011,796787.5,590000,2000000,10375,142650,135050,181700,105000
440070105024,499550,430000,1500000,69500,181440,177750,215300,152100
440070168001,134850.8,156000,240000,2037,166420,168000,193100,141000
440070106004,125810,109500,265000,47600,174510,178850,235700,126500
440050403022,196050,166000,319000,125000,326210,315800,408700,289900
440050408002,1464200,675000,8000000,50000,507830,462350,783500,359300
440050406004,225153.6,240750,310036,132000,305480,289650,492200,226600
440070131013,143250,140000,250000,25000,217180,188500,377000,136300
440070018001,113622.8,122500,193000,5678,131970,134400,158500,100600
440070124013,176480,189950,250000,110000,154960,153950,188100,137400
440070124015,176350,141750,327000,96000,227400,227300,314400,185000
440070117013,215775,189500,303850,132000,273430,269000,314800,237500
440070028001,117187.3,102750,209873,62500,116490,111350,156000,101200
440070140005,162700,166250,270000,87500,202160,202750,229100,173300
440070118004,45825,37750,87000,15000,45900,47300,49800,31900
440070120005,205820,227450,285000,105000,204570,206800,278600,135200
440070128012,412917,170835,2369000,125000,218420,212400,307600,170600
440070150001,180529.9,164000,350000,73299,166330,171500,200100,135400
440070153001,134850,127500,246000,58000,159020,146100,211800,128000
440070155003,298950,201000,775000,39500,142710,143800,163000,114600
440070156001,165240,154950,255000,79000,163520,161550,192400,147300
440070158002,117336.6,95000,240000,1366,183730,172600,244700,166700
440070110003,146032.3,137500,247000,38000,97270,100100,144300,66800
