GEOID,area_total,area_protected
040131124021,648454.8588569984,0
040134222211,1010437.3499411419,57771.44234103733
040134225022,660781.1651750356,0
040190043072,1654530.1286806464,2.7939677238464355e-8
040131092001,558132.9202076234,7.450580596923828e-9
040131167254,1241932.8198601743,2025.393535467796
040130610472,1299172.4927338986,0
040131117004,647684.5156426057,5282.422030878719
040190040261,1373495.8514055312,53728.71352318209
040134206031,1399177.1244929926,39442.0888094157
040131126012,540400.3934560008,1.862645149230957e-9
040190043312,966979.5858503133,5.960464477539063e-8
040210017071,1093766.4369902909,5.122274160385132e-9
040179423003,1049122217.5505018,1049122210.6350495
040270114063,714584.935024986,181964.39673462673
040030005001,3638772327.4552846,2546040164.257592
040131097051,287649.39565298473,0
040079404001,1986047898.8578813,1985805197.2706108
040210024003,1540472543.9926386,1327297682.1163094
040130719153,639620.1185486987,0
040131158012,654911.7664467543,3422.2619195595616
040190030042,1355801.9315265417,253488.47225531656
040131085021,322156.6176369637,0
040135229043,326530.9148122519,1059.3428966304054
040134226341,1216382.1357030272,2.2584572434425354e-8
040132170023,639255.4183287174,183247.1009111941
040136135002,740214.6365358824,0
040132168521,324309.55730608106,453.1189092078712
040131060021,617802.7294436842,144.8970207448583
040136118002,643794.1931483597,1.3969838619232178e-9
040133197053,272146.7368105203,0
040133200071,474308.4415305108,1046.146143271355
040190045083,643858.1737336665,2.491287887096405e-8
040210002093,1239141.7931003869,378621.63795903325
040130610411,379584.722611472,0
040131052003,633471.2549562454,84424.63466324098
040134211012,1061661.9103696346,5026.473271396942
040136189005,154720.14953491092,0
040134203032,1245884.1233575195,27921.062387470156
040190015002,792090.0069073886,6408.140035662451
040132168464,980765.0310434103,0
040130931054,382233.7163050175,0
040190045133,475433.0038035661,2.7939677238464355e-9
040136123004,546669.1070150137,51252.90078480914
040138102001,847293.9363882393,25573.163943813066
040130405256,418515.32541759126,2.2351741790771484e-8
040133200023,484027.00688483566,2.60770320892334e-8
040131053001,894147.6610294431,29108.141613754327
040131032173,810289.4110717326,261.46143677830696
040134223083,1330539.8271327764,3.5390257835388184e-8
040130719033,327354.7003557682,0
040131110001,180702.50966499746,0
040131042022,1329520.1322427094,2086.041337272618
040138116002,676437.6498635858,8.381903171539307e-9
040131086024,325751.9131322354,194.70987999113277
040132174001,279328.11891156435,6807.557973751565
040136148003,699834.0770184845,4470.379914066056
040131145001,630108.8953078967,875.2935326906154
040133199053,678285.9176490828,3645.6068159295246
040133188003,321071.3864311874,11.587669093743898
040134226102,1427562.806239158,1.257285475730896e-8
040136185003,129670.16514182836,3.725290298461914e-9
040250002042,13997867.703821108,2215422.440588802
040210014033,489021.83346666396,0
040136170002,574235.1352757812,1.1175870895385742e-8
040190052004,1372201.501769647,212817.46181387198
040131079003,653595.2313723266,6623.909906961606
040138118001,1223776.028309852,1.7695128917694092e-8
040179424001,1871079483.7859728,1871079447.9365811
040132176002,616330.6445856988,262.72033847123384
040070007001,2077847724.5359068,2076827633.5683951
040250012003,1034093933.8067838,886021753.6183131
040250015003,1758795040.4795947,1735436760.4247303
040133190002,662714.4390542805,67973.62455310428
040130610333,864333.6564154215,9.778887033462524e-9
040190041221,3328315.677644372,141752.77010038495
040134202081,630898.7852423489,41902.038576042745
040138140003,582952.7545883805,8.614733815193176e-9
040133193001,1094637.2639018893,12517.917846858269
040190046441,4706124.718555175,2479582.4942818806
040131167272,1188353.0903834868,197299.246827655
040131141001,1298955.3138062954,53467.4145850332
040131036061,562965.6253448129,8.381903171539307e-9
040131136022,563841.4591160491,45766.42578562879
040131116022,627833.1124859899,1.525040715932846e-8
040210013042,13259741.128821194,153024.74364968017
040131067012,133902.67832703888,8.381903171539307e-9
040132168132,1688349.8225175291,0.34977141581475735
040138149002,2562334.971209362,57.50734116137028
040130715132,1949076.788395524,7019.804164959351
040130924022,353625.09990368783,0
040131165003,1292011.8407795578,191164.97014142014
040134226181,1127442.072602056,5.960464477539063e-8
040131065011,656823.7096539289,0
040136197002,381285.4382471666,42.2089596495498
040138155001,3349180.2180673927,197268.34180320287
040133194011,159210.3743102681,330.8613051781431
040131057021,645319.9376210123,280.07123036740813
040136180001,1372127.9594858438,90782.74454017985
040134215012,498050.4429753795,60874.59237768862
040130405222,2948654.778186124,201.7517613307573
