GEOID,area_total,area_protected
350519624022,1979708977.5109377,1979708977.5109377
350010006013,656358.6470491067,656358.6470491067
350010001191,632580.2199214147,632580.2199214147
350010032011,1164451.217501294,1164451.217501294
350559526004,12648131.550735518,12648131.550735518
350579636004,95178845.4887322,95178845.4887322
350010047131,728317.9785239466,728317.9785239466
350010047461,5288790.743754951,5288790.743754951
350010047382,677676.3894915972,677676.3894915972
350050011021,3398398174.781104,3398398174.781104
350559527002,538889587.893462,538889587.893462
350490103152,853770.8066232521,853770.8066232521
350150003004,900141.4833708052,900141.4833708052
350350003033,174544.4042458008,174544.4042458008
350130018012,2722872.941633098,2722872.941633098
350090002012,522767.1040363461,522767.1040363461
350010037144,439505.25045150705,439505.25045150705
350130002021,2195778.6648927815,2195778.6648927815
350319435001,1599506798.8391075,1599506798.8391075
350010004021,566881.271266053,566881.271266053
350010047202,442862.0440463142,442862.0440463142
350339552001,364969886.8323821,364969886.8323821
350280005006,572453.1327380687,572453.1327380687
350479576002,903494697.1179432,903494697.1179432
350250006006,302854.9321561977,302854.9321561977
350439405003,1167341.327493608,1167341.327493608
350350004013,500794.026996569,500794.026996569
350050002023,1219555.9059008807,1219555.9059008807
350150005001,1212029.0367609095,1212029.0367609095
350010015001,538087.7791218909,538087.7791218909
350430107132,746105.2216854431,746105.2216854431
350010047371,1387958.689238336,1387958.689238336
350430107124,694109.3586134445,694109.3586134445
350010016002,366420.35796291847,366420.35796291847
350350001001,687650.0287546739,687650.0287546739
350010047502,765778.061806351,765778.061806351
350479575001,7323579395.763909,7323579395.763909
350319436005,157078593.20703545,157078593.20703545
350010001212,653567.6066771168,653567.6066771168
350390004003,1107349233.6680033,1107349233.6680033
350390004001,2196813305.9243774,2196813305.9243774
350010011022,665957.4481874807,665957.4481874807
350459430003,1256196844.975543,1256196844.975543
350390005002,2959337214.483592,2959337214.483592
350010047292,1594109.8019866035,1594109.8019866035
350430107051,2046365.476587426,2046365.476587426
350130004013,329900.82244006917,329900.82244006917
350490012043,587380.4787367708,587380.4787367708
350130003003,665774.6122826338,665774.6122826338
350319456003,755563.0726389363,755563.0726389363
350010037151,2083596.181849103,2083596.181849103
350350004022,2208177.7583110686,2208177.7583110686
350350009021,911411342.108503,911411342.108503
350559527001,534852013.015501,534852013.015501
350490011021,1947097.0081770858,1947097.0081770858
350430107123,489840.5798058454,489840.5798058454
350090006012,1795247.403418228,1795247.403418228
350430107212,3810943.1461480036,3810943.1461480036
350010007133,301229.90696417773,301229.90696417773
350130006001,512643.26500174403,512643.26500174403
350430107191,1049546.8198322854,1049546.8198322854
350069742022,631321.7625313511,631321.7625313511
350010017002,643591.5890346328,643591.5890346328
350010047222,197772.87455635797,197772.87455635797
350010037222,2310910.0782314986,2310910.0782314986
350050006001,17059597.516599055,17059597.516599055
350010047232,434801.78411607817,434801.78411607817
350250010041,4408444.491050646,4408444.491050646
350350002001,674651.3797922997,674651.3797922997
350130007004,280411.5005073445,280411.5005073445
350010001222,578716.0184757672,578716.0184757672
350410002001,1573947.4352749987,1573947.4352749987
350010032022,1231419.1035624724,1231419.1035624724
350010047331,1065642.0856898718,1065642.0856898718
350150009001,4012859895.336042,4012859895.336042
350010030014,632718.1914404046,632718.1914404046
350010017003,407214.1730892202,407214.1730892202
350450007062,803570571.6818029,803570571.6818029
350559521001,939283000.0660337,939283000.0660337
350130011031,4281614.112052146,4281614.112052146
350010009031,334369.48619361036,334369.48619361036
350410003001,719342.2748503685,719342.2748503685
350010032024,593343.8119295333,593343.8119295333
350210001001,5504202854.411803,5504202854.411803
350010032023,399557.8884084802,399557.8884084802
350619704012,1425788.8851800575,1425788.8851800575
350010001151,335086.4529924188,335086.4529924188
350010006011,886173.9674667479,886173.9674667479
350450003011,806936.5178568996,806936.5178568996
350279604002,242560977.6458861,242560977.6458861
350430107054,757688.5169165544,757688.5169165544
350010001213,351498.4495760631,351498.4495760631
350490013022,924904.908556533,924904.908556533
350350003054,568991.9474178702,568991.9474178702
350079506005,1486188036.1761434,1486188036.1761434
350130007002,455395.5568624381,455395.5568624381
350010006043,1307083.0001946632,1307083.0001946632
350010047171,1245833.7202117145,1245833.7202117145
350130001022,199535.9290935602,199535.9290935602
350010001215,302332.90832642606,302332.90832642606
350619708003,1751925.856600605,1751925.856600605
350150011005,3242171.7841393575,3242171.7841393575
350350009012,433776928.1254652,433776928.1254652
350130013033,4148091.538400121,4148091.538400121
350010037214,2429005.2686359314,2429005.2686359314
350559526001,1774510.7427435392,1774510.7427435392
350010001214,640976.2084340593,640976.2084340593
350150011001,638298.5142255351,638298.5142255351
350010047501,1084676.2984808646,1084676.2984808646
350010001071,2577971.821421558,2577971.821421558
350010047421,25619.668234503828,25619.668234503828
350010007122,663434.918545654,663434.918545654
350010001192,573897.4009440709,573897.4009440709
