GEOID,area_total,area_protected
150010205005,2270787.86064253,2270787.86064253
150030089121,492115.2683909936,492115.2683909936
150030111032,674369.4084671363,674369.4084671363
150030109011,499787.995885985,499787.995885985
150090314052,495803.2747458257,495803.2747458257
150030019042,48842.92966635153,48842.92966635153
150030023003,74148.3723800634,74148.3723800634
150030109031,491376.93573211133,491376.93573211133
150030068022,212513.60270186514,212513.60270186514
150030031022,513695.15062660724,513695.15062660724
150010205001,1331639.7115567476,1331639.7115567476
150010207011,1800946.5455154777,1800946.5455154777
150030045003,717599.2544822334,717599.2544822334
150030095011,381947.32635778934,381947.32635778934
150030089083,812727.3712883871,812727.3712883871
150030064023,195450.6765763089,195450.6765763089
150030018032,29295.716140693054,29295.716140693054
150030053001,213900.00248871744,213900.00248871744
150010216043,733793.6018764153,733793.6018764153
150030020061,109023.97356496751,109023.97356496751
150030105041,398284.0031231195,398284.0031231195
150030030001,380307.47137697786,380307.47137697786
150070401032,3097100.008487705,3097100.008487705
150030098021,869144.4392689317,869144.4392689317
150030036032,72756.26812529191,72756.26812529191
150090309011,306753.1955304146,306753.1955304146
150030008002,190833.20890872926,190833.20890872926
150030086092,1187784.8894972391,1187784.8894972391
150030034041,110865.67741927132,110865.67741927132
150030013003,214298.85359435156,214298.85359435156
150030086141,183422.37180638127,183422.37180638127
150030105031,940622.4879465718,940622.4879465718
150030086064,263684.5413277969,263684.5413277969
150019903000,2687.8104416280985,2687.8104416280985
150030062011,157789.67165428773,157789.67165428773
150030034052,76015.79922076315,76015.79922076315
150030094003,298710.2658907883,298710.2658907883
150030008001,294766.8324290328,294766.8324290328
150030001064,317360.9150350839,317360.9150350839
150030073022,1328025.8611964025,1328025.8611964025
150030087014,382423.23453138396,382423.23453138396
150030016001,314025.9308001846,314025.9308001846
150030043001,234621.1254583802,234621.1254583802
150070404005,648676.6298307246,648676.6298307246
150010216014,498215.89778381586,498215.89778381586
150030018033,27191.644732838497,27191.644732838497
150030084051,1073811.945218578,1073811.945218578
150030024013,45639.86625606567,45639.86625606567
150090304043,2074477.763546437,2074477.763546437
150030087021,684288.8457208872,684288.8457208872
150070409003,1742851.2903838614,1742851.2903838614
150030089242,448824.7738121897,448824.7738121897
150030084071,760326.6459659599,760326.6459659599
150030106013,208021.05933335423,208021.05933335423
150030017002,397396.87366024405,397396.87366024405
150030105053,329731.51705046,329731.51705046
150030106012,367508.66230934486,367508.66230934486
150030089073,210614.78107989673,210614.78107989673
150030111051,556050.6785179705,556050.6785179705
150030113003,951880.9668276384,951880.9668276384
150030108023,1928948.549778726,1928948.549778726
150030036042,86183.78817179054,86183.78817179054
150030089243,292409.4036446735,292409.4036446735
150030037001,173864.07090836763,173864.07090836763
150030037006,47659.909559790045,47659.909559790045
150030034064,35559.28489914164,35559.28489914164
150030042002,56987.155961981975,56987.155961981975
150030096034,515678.2031282,515678.2031282
150030099045,838787.1188395992,838787.1188395992
150030112014,369251.7479076795,369251.7479076795
150030037004,102747.35009777918,102747.35009777918
150070404001,198297862.64923242,198297862.64923242
150070406032,2843009.52125657,2843009.52125657
150079902000,342849.1053507938,342849.1053507938
150070408001,313495351.54025537,313495351.54025537
150070406041,3142220.428563634,3142220.428563634
150090307072,597371.8107218146,597371.8107218146
150090307061,757578.1713990187,757578.1713990187
150090307062,828881.6740038618,828881.6740038618
150090307082,465174.91188431345,465174.91188431345
150010220001,1183005589.1247444,1183005589.1247444
150090311012,1118127.713507995,1118127.713507995
150090304042,1067216.2775049657,1067216.2775049657
150090307093,530676.145493269,530676.145493269
150090309032,726356.760286212,726356.760286212
150090307074,606483.8239258528,606483.8239258528
150010210033,5920354.203451753,5920354.203451753
150010212022,992937520.9435415,992937520.9435415
150010216041,577043.4662207216,577043.4662207216
150010210052,4898337.478675604,4898337.478675604
150030001123,896823.9764878899,896823.9764878899
150030089202,126310.59621255286,126310.59621255286
150030009012,181072.80746407807,181072.80746407807
150030008004,326749.23471330106,326749.23471330106
150030002003,1747482.0321724862,1747482.0321724862
150030003023,543011.5806376114,543011.5806376114
150030003022,360047.9629636407,360047.9629636407
150030084111,913192.193859132,913192.193859132
150030007002,246179.6807204336,246179.6807204336
150010216045,770767.9828670286,770767.9828670286
150030097033,1203955.5195029117,1203955.5195029117
150030009031,331264.30977496505,331264.30977496505
150030028002,1636171.2394104889,1636171.2394104889
150030020031,60571.07378114667,60571.07378114667
150030020051,61267.620134510216,61267.620134510216
150030020052,58016.3674487751,58016.3674487751
150030035022,182987.80615680292,182987.80615680292
150030034034,63117.097035791725,63117.097035791725
150030041001,162896.85406385106,162896.85406385106
150030038001,291331.5986667909,291331.5986667909
150030001113,323002.63501868397,323002.63501868397
150030050002,183423.57862925343,183423.57862925343
150030064011,206100.29134515673,206100.29134515673
150030050003,127228.97507843375,127228.97507843375
150030078071,33818.46494865976,33818.46494865976
150030106021,452924.76044012234,452924.76044012234
150030068023,251405.66173518263,251405.66173518263
150030068083,53357.91222854331,53357.91222854331
150030078076,41995.4288610518,41995.4288610518
150030087022,412656.4259283766,412656.4259283766
150030078074,140099.85194912646,140099.85194912646
150030084121,392686.6782586798,392686.6782586798
150030084021,502420.1264387374,502420.1264387374
150030089281,1246505.0880395244,1246505.0880395244
150030062014,57769.99591079075,57769.99591079075
150030089251,675435.5558379199,675435.5558379199
150030089061,925260.3249632083,925260.3249632083
150030056002,76875.79097771179,76875.79097771179
150030088001,207533.10888756067,207533.10888756067
150030089183,208695.18944407254,208695.18944407254
150030089203,294915.3327463567,294915.3327463567
150030093003,247255.4009304382,247255.4009304382
150030099023,1281125.4005089016,1281125.4005089016
150070403004,727512.9333408878,727512.9333408878
150070409006,1121856.7972299089,1121856.7972299089
150070405002,1806757.4990525055,1806757.4990525055
150070404003,2894360.0659885537,2894360.0659885537
150090311013,279167.8360295743,279167.8360295743
150090311034,289395.3820340708,289395.3820340708
150090314053,488223.9645015374,488223.9645015374
150090309022,284410.6631584242,284410.6631584242
150090310004,879635.1414049417,879635.1414049417
150030075051,618433.3056015372,618433.3056015372
150030068081,75718.77254632954,75718.77254632954
150030015002,141325.99206888676,141325.99206888676
150030111052,311096.74781229533,311096.74781229533
150030047001,193591.92951276433,193591.92951276433
150030111042,963773.2360864133,963773.2360864133
150030058002,290506.7809099257,290506.7809099257
150030001071,2284811.201620063,2284811.201620063
150030080021,814915.9269079417,814915.9269079417
150030089131,436609.25230270997,436609.25230270997
150030054001,82646.3977926001,82646.3977926001
150030027021,804648.2475262992,804648.2475262992
150030027013,235409.45849225298,235409.45849225298
150030080022,426786.44033798575,426786.44033798575
150030027012,431252.2289182544,431252.2289182544
150030088002,476845.30725037307,476845.30725037307
150030080032,958826.217918776,958826.217918776
150030078051,524556.0719657522,524556.0719657522
150030015003,195128.83225727826,195128.83225727826
150030078081,1327126.906861484,1327126.906861484
150030063021,670565.304420067,670565.304420067
